"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"
"2010-02-22T01:05:46"	"1266800746"	"Taxi Cab"	"1eb76ecc-df8b-424e-920a-35a872571fc1"	"Vampire Weekend"	"af37c51c-0790-4a29-b995-456f98a6b8c9"	"Taxi Cab"	"1eb76ecc-df8b-424e-920a-35a872571fc1"	"Vampire Weekend"	"af37c51c-0790-4a29-b995-456f98a6b8c9"
"2010-03-02T09:09:12"	"1267520952"	"Heaven's Gonna Burn Your Eyes"	"0c0a7e6e-e190-41f7-8e74-032df3dfc77f"	"Thievery Corporation"	"a505bb48-ad65-4af4-ae47-29149715bff9"	"Heaven's Gonna Burn Your Eyes"	"0c0a7e6e-e190-41f7-8e74-032df3dfc77f"	"Thievery Corporation"	"a505bb48-ad65-4af4-ae47-29149715bff9"
"2010-03-03T16:06:07"	"1267632367"	"Psyche"	"37bd0914-d223-46ca-926f-86cc0a923eac"	"Massive Attack"	"10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8"	"Psyche"	"37bd0914-d223-46ca-926f-86cc0a923eac"	"Massive Attack"	"10adbe5e-a2c0-4bf3-8249-2b4cbf6e6ca8"
"2010-03-03T16:12:35"	"1267632755"	"Your Ex-Lover Is Dead"	"4e3cdac1-a547-44ba-8c0f-7b7d2245ea15"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"	"Your Ex-Lover Is Dead"	"4e3cdac1-a547-44ba-8c0f-7b7d2245ea15"	"Stars"	"16ebb731-7ba0-4dc0-ad87-ef4c56461d81"
"2010-03-03T16:53:52"	"1267635232"	"Ghostwriter"	"54f534ee-cf6c-439e-a04f-d9c8e93484c5"	"RJD2"	"1a120ec5-35b3-4f3e-aa49-7201550d9feb"	"Ghostwriter"	"54f534ee-cf6c-439e-a04f-d9c8e93484c5"	"RJD2"	"1a120ec5-35b3-4f3e-aa49-7201550d9feb"
"2010-03-03T17:22:07"	"1267636927"	"Marmalade"	"81513704-9da0-4199-bdb0-8a18214d881b"	"Cagedbaby"	"b398215e-c440-4dee-bd18-9d82f715442f"	"Marmalade"	"81513704-9da0-4199-bdb0-8a18214d881b"	"Cagedbaby"	"b398215e-c440-4dee-bd18-9d82f715442f"
"2010-03-08T19:29:23"	"1268076563"	"All Through The Night"	"c28a179b-bc29-4948-a775-aa037076e77e"	"Emancipator"	"aa1d4315-5246-42b2-b62b-f997d046d8b2"	"All Through The Night"	"c28a179b-bc29-4948-a775-aa037076e77e"	"Emancipator"	"aa1d4315-5246-42b2-b62b-f997d046d8b2"
"2010-03-08T19:41:21"	"1268077281"	"Röyksopp Forever"	"bc0b400c-1f18-495e-abca-e14b3ec97af8"	"Röyksopp"	"1c70a3fc-fa3c-4be1-8b55-c3192db8a884"	"Röyksopp Forever"	"bc0b400c-1f18-495e-abca-e14b3ec97af8"	"Röyksopp"	"1c70a3fc-fa3c-4be1-8b55-c3192db8a884"
"2010-03-09T16:59:58"	"1268153998"	"Slow Nerve Action"	"00f4167c-6eeb-46dc-97e2-41c490caf102"	"The Flaming Lips"	"1f43d76f-8edf-44f6-aaf1-b65f05ad9402"	"Slow Nerve Action"	"00f4167c-6eeb-46dc-97e2-41c490caf102"	"The Flaming Lips"	"1f43d76f-8edf-44f6-aaf1-b65f05ad9402"
"2010-03-09T17:00:19"	"1268154019"	"I'm Good, I'm Gone"	"12dac8b3-ba8a-4337-80ee-c3ff37a60ab2"	"Lykke Li"	"cc7d4686-ea02-45fd-956e-94c1a322558c"	"I'm Good, I'm Gone"	"12dac8b3-ba8a-4337-80ee-c3ff37a60ab2"	"Lykke Li"	"cc7d4686-ea02-45fd-956e-94c1a322558c"
"2010-03-09T18:44:17"	"1268160257"	"The Golden Eel"	"87315545-769c-403e-86ae-f94ebdd796cc"	"Ween"	"c0eee88b-47f2-4cd2-ac48-a045e902a432"	"The Golden Eel"	"87315545-769c-403e-86ae-f94ebdd796cc"	"Ween"	"c0eee88b-47f2-4cd2-ac48-a045e902a432"
"2010-03-11T13:16:44"	"1268313404"	"Brother Sport"	"4c9b8cdb-3919-4536-933f-1567feed9a4e"	"Animal Collective"	"0c751690-c784-4a4f-b1e4-c1de27d47581"	"Brother Sport"	"4c9b8cdb-3919-4536-933f-1567feed9a4e"	"Animal Collective"	"0c751690-c784-4a4f-b1e4-c1de27d47581"
"2010-03-15T15:33:28"	"1268667208"	"Giving up the Gun"	"fb46ee06-4ded-4b0c-862f-4e2b226d9430"	"Vampire Weekend"	"af37c51c-0790-4a29-b995-456f98a6b8c9"	"Giving up the Gun"	"fb46ee06-4ded-4b0c-862f-4e2b226d9430"	"Vampire Weekend"	"af37c51c-0790-4a29-b995-456f98a6b8c9"
"2010-06-02T23:35:02"	"1275521702"	"Casimir Pulaski Day"	"19d0e69a-1efb-43ee-b414-1ec7c2b26cb4"	"Sufjan Stevens"	"01d3c51b-9b98-418a-8d8e-37f6fab59d8c"	"Casimir Pulaski Day"	"19d0e69a-1efb-43ee-b414-1ec7c2b26cb4"	"Sufjan Stevens"	"01d3c51b-9b98-418a-8d8e-37f6fab59d8c"
"2010-06-03T10:00:40"	"1275559240"	"愛の実験"	"8e32fd04-b1bd-449d-bf70-57c6a3057239"	"Lily Chou-Chou"	"5652bb3e-f225-49de-9637-5aa1539b4a7c"	"愛の実験"	""	"LILY CHOU CHOU"	""
"2010-06-03T10:01:05"	"1275559265"	"愛の実験"	"8e32fd04-b1bd-449d-bf70-57c6a3057239"	"Lily Chou-Chou"	"5652bb3e-f225-49de-9637-5aa1539b4a7c"	"愛の実験"	"8e32fd04-b1bd-449d-bf70-57c6a3057239"	"Lily Chou-Chou"	"5652bb3e-f225-49de-9637-5aa1539b4a7c"
"2010-06-03T10:18:07"	"1275560287"	"White Surf style 5."	"915cb1ca-a266-444b-8218-7fe671914d94"	"Supercar"	"371d6599-6292-4f3f-94d2-5b2fd19b089c"	"White Surf style 5."	"915cb1ca-a266-444b-8218-7fe671914d94"	"Supercar"	"371d6599-6292-4f3f-94d2-5b2fd19b089c"
"2010-06-03T10:22:23"	"1275560543"	"Watashi-no Koibito"	"8d4b6fab-7bca-47f3-849e-f35ec823d676"	"小島麻由美"	"8defddcb-85ab-4283-a1a8-68405fa98b6b"	"Watashi-no Koibito"	"8d4b6fab-7bca-47f3-849e-f35ec823d676"	"小島麻由美"	"8defddcb-85ab-4283-a1a8-68405fa98b6b"
"2010-06-03T10:29:22"	"1275560962"	"arne"	"736b04b9-bef4-4a15-97a0-e4bffe313c98"	"Haruka Nakamura"	"3d6a7fdc-2357-4d7c-bbe5-773c8245d5a0"	"arne"	"736b04b9-bef4-4a15-97a0-e4bffe313c98"	"Haruka Nakamura"	"3d6a7fdc-2357-4d7c-bbe5-773c8245d5a0"
