"ISO time"	"unixtime"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"2009-08-02T17:13:17"	"1249233197"	"Keyboard Sonata in E Major, K.380/L.23/P.483: Andante comodo"	""	"Domenico Scarlatti"	"95c7a1d1-5cfd-41d5-99f9-0611262de8e1"	"Keyboard Sonata in E Major, K.380/L.23/P.483: Andante comodo"	""	"Domenico Scarlatti"	"95c7a1d1-5cfd-41d5-99f9-0611262de8e1"	"SCARLATTI, D.: Piano Sonatas (Selection)"	""	"Domenico Scarlatti"	"95c7a1d1-5cfd-41d5-99f9-0611262de8e1"
"2009-08-02T17:13:22"	"1249233202"	"J'attendrai"	"b2c3102c-c3d3-4514-9cec-01ac82782110"	"Rina Ketty"	"ab7b2783-0cc3-45f9-babf-39508677be83"	"J'attendrai"	"b2c3102c-c3d3-4514-9cec-01ac82782110"	"Rina Ketty"	"ab7b2783-0cc3-45f9-babf-39508677be83"	"The Very Best Of The French Chanson II"	""	"Édith Piaf"	"4f8ef4a3-40fa-46b5-8773-97686a8424f4"
"2009-08-02T17:13:26"	"1249233206"	"Highway of Endless Dreams"	"01466fe5-d78e-43ee-9577-89e9982efe01"	"M83"	"6d7b7cd4-254b-4c25-83f6-dd20f98ceacd"	"Highway of Endless Dreams"	"01466fe5-d78e-43ee-9577-89e9982efe01"	"M83"	"6d7b7cd4-254b-4c25-83f6-dd20f98ceacd"	"Saturdays = Youth"	"54c91622-a67a-4da4-9fce-1a37516ac12f"	"M83"	"6d7b7cd4-254b-4c25-83f6-dd20f98ceacd"
"2009-08-02T17:13:32"	"1249233212"	"How to Disappear Completely"	"62792524-c2aa-45ca-8ba9-fc3a9b94af32"	"Radiohead"	"a74b1b7f-71a5-4011-9441-d0b5e4122711"	"How to Disappear Completely"	"62792524-c2aa-45ca-8ba9-fc3a9b94af32"	"Radiohead"	"a74b1b7f-71a5-4011-9441-d0b5e4122711"	"Kid A"	"5cf1960d-d7c1-31cf-99e1-41c00069a471"	"Radiohead"	"a74b1b7f-71a5-4011-9441-d0b5e4122711"
"2009-08-02T17:13:37"	"1249233217"	"Blue Illusion"	""	"Glen Gray"	"7c3536ff-db06-4052-844a-c4f79d71379f"	"Blue Illusion"	""	"Glen Gray"	"7c3536ff-db06-4052-844a-c4f79d71379f"	"Live At The Rainbow Room NYC March / April 1936"	""	"Glen Gray"	"7c3536ff-db06-4052-844a-c4f79d71379f"
"2009-08-02T17:13:42"	"1249233222"	"Ma fille"	"124038b5-1192-4a50-a76f-a76d22c07e3e"	"Serge Reggiani"	"8bbd8256-2607-4447-a4df-f6151a386d32"	"Ma fille"	"124038b5-1192-4a50-a76f-a76d22c07e3e"	"Serge Reggiani"	"8bbd8256-2607-4447-a4df-f6151a386d32"	"Succès et Confidences"	"59f36429-adfd-4a91-9f0f-c18299e3d573"	"Serge Reggiani"	"8bbd8256-2607-4447-a4df-f6151a386d32"
"2009-08-02T17:13:46"	"1249233226"	"Si tu t'imagines"	"238c4074-ccb3-49ba-add1-fe3879a03840"	"Mouloudji"	"2b864ebb-e183-4cf6-928c-70bda3926029"	"Si tu t'imagines"	"238c4074-ccb3-49ba-add1-fe3879a03840"	"Mouloudji"	"2b864ebb-e183-4cf6-928c-70bda3926029"	"Mouloudji"	"89362b3d-c2ec-4352-b525-99dc1e779b6e"	"Mouloudji"	"2b864ebb-e183-4cf6-928c-70bda3926029"
"2009-08-02T17:13:51"	"1249233231"	"Boogie Woogie Bugle Boy"	"cc20292f-e160-4260-8e37-7c97badd2613"	"The Andrews Sisters"	"0c62ad8b-aeaa-4bdf-a17e-c800d3745ea4"	"Boogie Woogie Bugle Boy"	"cc20292f-e160-4260-8e37-7c97badd2613"	"The Andrews Sisters"	"0c62ad8b-aeaa-4bdf-a17e-c800d3745ea4"	"The Magic Of The Andrew Sisters"	""	"The Andrews Sisters"	"0c62ad8b-aeaa-4bdf-a17e-c800d3745ea4"
"2009-08-02T17:14:01"	"1249233241"	"Nantes"	"42a4d7aa-303e-4475-b465-2e0f718adaca"	"Barbara"	"286c9551-d703-4037-a022-b1b146afbabb"	"Nantes"	"42a4d7aa-303e-4475-b465-2e0f718adaca"	"Barbara"	"286c9551-d703-4037-a022-b1b146afbabb"	"Volume 4 : Göttingen"	""	"Barbara"	"286c9551-d703-4037-a022-b1b146afbabb"
"2009-08-02T17:14:04"	"1249233244"	"Rue Des Cascades"	"043a8ae9-47c7-422a-81f8-fdcba3c117e5"	"Yann Tiersen"	"12d432a3-feb0-49b1-a107-d20751880764"	"Rue Des Cascades"	"043a8ae9-47c7-422a-81f8-fdcba3c117e5"	"Yann Tiersen"	"12d432a3-feb0-49b1-a107-d20751880764"	"Rue Des Cascades"	"ce2ebf1c-1132-4fbf-8064-956f468c5b0b"	"Yann Tiersen"	"12d432a3-feb0-49b1-a107-d20751880764"
